Restaurant Name,Average Rating,Total Popularity
Barbeque Nation,4.353846154,28142
AB's - Absolute Barbecues,4.825,13400
Big Chill,4.475,10853
Farzi Cafe,4.366666667,10098
Truffles,3.95,9682
Chili's,4.58,8156
Joey's Pizza,4.25,7807
Big Yellow Door,4.266666667,7511
Saravana Bhavan,4.133333333,7238
Starbucks,3.805555556,7139
Pirates of Grill,4.025,7091
Karim's,3.030769231,6878
Domino's Pizza,2.740506329,6643
Subway,2.907936508,6124
Dunkin' Donuts,3.136363636,5974
Pind Balluchi,2.63,5582
Talaga Sampireun,4.9,5514
Punjab Grill,4.34,5424
Berco's,3.166666667,5394
SodaBottleOpenerWala,4.066666667,5374
McDonald's,3.339583333,5291
Tea Villa Cafe,3.925,5167
Pizza Hut,3.32,4961
Out Of The Box,3.85,4900
Burger King,3.40625,4617
Khan Chacha,2.471428571,4610
Haldiram's,3.625,4525
TGI Friday's,3.85,4357
Nando's,3.14,4045
Sagar Ratna,2.963157895,4038
Olive Bistro,4.15,3708
SpiceKlub,4.3,3651
QD's Restaurant,4.033333333,3536
Hard Rock Cafe,4.2,3491
Wood Box Cafe,3.95,3449
AB's Absolute Barbecues,4.85,3151
The Flying Saucer Cafe,4.1,3145
Mocha,4.185714286,3111
Naturals Ice Cream,4.8,3094
Desi Vibes,3.9,3043
The Cheesecake Factory,4.65,3010
Bikanervala,3.192857143,2980
Raasta,3.85,2943
Onesta,4.5,2821
Cafe Delhi Heights,4.033333333,2711
Jungle Jamboree,3.825,2705
Mamagoto,4.166666667,2633
Imperfecto,3.55,2546
Mainland China,3.716666667,2541
Naivedyam,3.866666667,2481
Chaayos,3.538888889,2473
Cafe Coffee Day,2.419277108,2428
Nizam's Kathi Kabab,3.65,2356
KFC,2.744444444,2331
Kake Da Hotel,3.28,2327
Smoke House Deli,4.05,2292
Palmshore,4.3,2228
The Chatter House,4.1,2136
Punjabi By Nature,3.7,2026
Oh! Calcutta,4.1,1999
Ceviche Tapas Bar & Restaurant,4.25,1993
The Beer Cafe,3.016666667,1987
Bombay Brasserie,4.4,1984
Gola Sizzlers,3.3,1968
Yo! China,2.988888889,1951
Made In Punjab,4.05,1917
Effingut Brewerkz,4.3,1906
Amici Cafe,3.7,1896
Bikkgane Biryani,3.966666667,1882
Swagath,3.62,1819
RollsKing,3.7,1814
Indian Coffee House,3.533333333,1811
Garam Dharam,3.55,1805
The Junkyard Cafe,3.85,1765
Pita Pit,3.7,1703
Pebble Street,3.95,1703
Imly,3.9,1689
Zaffran,4.166666667,1661
Not Just Paranthas,3.333333333,1647
Nazeer Foods,3.328571429,1628
Caffe Tonino,3.85,1604
Shake Square,3.65,1594
Ichiban,4.1,1533
Deez Biryani & Kebabs,3.65,1532
Teddy Boy,3.75,1527
Pizza Hut Delivery,2.657894737,1527
The Yellow Chilli,3.671428571,1526
Whipped,4.2,1497
